age,earnings_ratio_to_overall_mean
20,0.2
21,0.24
22,0.29
23,0.35
24,0.42
25,0.5
26,0.58
27,0.66
28,0.74
29,0.81
30,0.87
31,0.93
32,0.98
33,1.03
34,1.07
35,1.11
36,1.15
37,1.18
38,1.21
39,1.24
40,1.27
41,1.29
42,1.31
43,1.33
44,1.35
45,1.37
46,1.38
47,1.39
48,1.4
49,1.39
50,1.38
51,1.36
52,1.34
53,1.3
54,1.26
55,1.2
56,1.14
57,1.06
58,0.97
59,0.87
60,0.76
61,0.64
62,0.52
63,0.4
64,0.28
65,0.16
66,0.1
67,0.06
68,0.04
69,0.03
70,0.02
71,0.015
72,0.01
73,0.007
74,0.005
75,0.003
76,0.002
77,0.0015
78,0.001
79,0.0007
80,0.0005
81,0.0004
82,0.0003
83,0.0002
84,0.00015
85,0.0001
86,8e-05
87,6e-05
88,4e-05
89,3e-05
90,2e-05
91,1e-05
92,1e-05
93,1e-05
94,5e-06
95,3e-06
96,2e-06
97,1e-06
98,1e-06
